10,<天玑领地>
12,红尘醉·冠
45,悦来客栈_困难
56,这些小虾米总是前赴后继地扑上来送死，真是好生麻烦。
62,【称号】使用后可获得称号【腰缠万贯】
98,食腐兽精英
100,爬塔85层小怪
151,5阶玄仙
195,没问题，包在我身上。
196,阵营领袖普攻
200,甘韵寒
208,【称号】幽冥第一
218,未搜索到上架物品
222,【称号】使用后可获得称号【幽冥第一】
227,灵鹿.噩梦普通攻击
280,连接失败，请稍后重试
287,3级桃树怪物
356,2阶师徒贡献券
358,【太阳金翎】祈福礼包
367,世界聊天无次数限制
392,妖灵2级
393,驱逐棕狼
425,你一切多加小心。
434,我？和他？各司其职罢了。哎，你看到那些啸猿没有，它们好像来者不善的样子，我看你也有空，便帮我把它们打发了吧。
490,6阶地玄晶
573,开始吧。
586,当前所处的地图不允许修改战斗模式
608,低调清霜
642,【称号】雷霆上仙
648,反抗
670,"【50级野外BOSS】中参与击败碧眼蟾蜍获得,打开必定获得5阶装备箱，可能获得5阶天工谱"
700,吟唱加多段小爆
733,卓西岭
788,空
808,修炼场1
858,未激活
880,为你而在丶
886,相柳_3
892,！！东皇钟！齿戎……你竟敢骗我们……
893,师兄在想什么呢，算了……做正事吧！
908,采集鹿茸
923,你听！她来了！
998,巡逻小妖
1019,采取红丹果
1071,[2a2424]打开上阵[-]
1085,鲲被动技
1093,兑现获得
1130,冉兮
1146,登陆好礼第3天赠送
1149,詹香薇
1165,（你忽然看到了一个熟悉的身影）又是你？！
1172,九游丶芒果
1242,【称号】黑山宫殿神将
1260,碧彤
1263,"[fff600]剑宗[-]【6阶】[f02c2c]红品[-]项链,穿戴等级[007ae8]67[-]级,[00b404]出售[-]可获得【[007ae8]装备精魄*2000[-]】"
1278,【[007ae8]排名活动[-]】天下第一专属奖励
1280,夜歌
1283,【[007ae8]年卡[-]】专属奖励
1316,镇妖塔17
1319,阿宁已经回来了……多谢你帮了这么多忙……
1359,【卷轴】2阶内攻[废弃]
1393,获得积分
1419,好友添加成功！
1457,恢复生命值3%
1460,仙翼中级礼包
1477,战场军威
1505,根据者宵所说离去
1526,妙菡
1581,造型专用怪198
1615,螳螂
1632,宠物升星二
1671,冷霜紫绸（3天）
1672,葬花魂·腰
1682,怪物（五）
1730,讹兽那个家伙，知道的虽然不少，可说的话没有一句是真的。
1767,讹兽单体
1790,竞技场11-20
1857,请讲。
1862,<灵宠>
1883,升级穴位
1890,青鸢♚
1892,曼云
1907,商炀：哎，没想到啊……这么多年了，终究还是派上了用场。
1924,妖兽_噩梦
1947,你还没有告诉我《万妖宝典》究竟有什么用？
1960,有些事，时机到了你自会知晓，我看你身上气息不同于凡人，倒有些仙骨。
1980,目标点释放火球
1985,背包整理
1998,阎罗位面2
2014,12阶 魔屠
2059,上仙流影
2122,命中提高5%，持续30分钟
2127,头领_普通
2169,玄宗男弟子
2188,九天之上，天地一色。
2220,（者宵听了你的话之后沉吟了片刻）
2225,获得1件9阶橙装
2254,你本周在[青铜]段位中排名{0}位！获得以下奖励，可喜可贺！
2257,你将师弟做好的液体倒在那些青苔上，或许会引来什么妖物。
2264,获得私人订制称号
2276,7阶准骑
2281,询问者宵的计划
2292,取暖（三）
2326,无碍，你先去弄些幼鹿血回来吧。
2341,获得仙山白泽头像
2367,<奶娘>
2449,蛇毒
2471,月华：师兄，此地看起来……状况似乎不太好。
2526,询问月华是否可以向山神打探有用的消息
2532,画剑伤害载体3
2537,求助月华
2552,噩梦副本
2556,从癫狂的女鲛人身上收集鲛人血
2593,对目标造成250%伤害，40%概率对目标造成10%破甲效果
2651,最高段位
2675,远程射直线目标
2678,姜
2728,增加主人150点闪避
2752,出战时，当主人攻击时，有9%概率提高主人10%防御
2763,洪荒煞·冠
2774,【礼包】超值灵宠技能书礼包
2785,挑战成功！
2853,多亏我自幼体质非凡，这等寒气尚且可以承受。
2861,"[fff600]幽冥[-]【12阶】[f02c2c]红品[-]护甲,穿戴等级[007ae8]117[-]级,[00b404]出售[-]可获得【[007ae8]装备精魄*5000[-]】"
2888,花醉三千·腕
2897,跳跃中不能使用技能
2909,该时装不可购买
2915,藏星·主手
2916,"【3阶】[bd29ee]紫品[-]副手,穿戴等级[007ae8]31[-]级,[00b404]出售[-]可获得【[007ae8]装备精魄*200[-]】"
2961,未获得
2964,外功防御降低
2968,天玑守护1
2969,石乐志
3062,毒池伤害
3073,9阶宝石包
3104,出战时，当主人攻击时，有7%概率造成目标50%减速
3105,收集7枚分翼
3110,再遇阿修
3137,暴击率增加
3164,1级防御药水
3174,增加主人450点命中
3231,悦来客栈剧情找回
3233,主翼3阶
3234,王爷
3259,外功攻击降低
3273,完成师徒任务获得的代币，可以在师徒商城购买道具。绑定货币。
3290,我想应该八九不离十。
3312,朱厌在醉晴天之中，若是想进入醉晴天，需找到一样宝物才行，你四处去看看，有没有可疑的土堆。
3459,1级攻击药水
3482,空城栈道_组队
3510,再遇仙翁
3521,是你……这是？
3561,世界频道聊天必备道具
3586,天玑妖皇，竟然秘密相邀玄宗掌门，这事若是传了出去，恐怕谁都不会信吧。
3605,增加主人200点内功
3629,凝海
3639,时间还不到下次游历
3641,野鬼
3679,剑宗统领
3734,还请阁下赐教。
3738,小怪6
3750,困难副本收益购买次数+1
3799,"必定获得1~3个【天界战马】碎片，并有一定概率额外获得50个""可交易""的对应碎片"
3813,宠物品质
3820,帮助张龙
3846,"【1阶】[00b404]绿品[-]护腕,穿戴等级[007ae8]10[-]级。"
3851,天权·箭
3867,（咕咕……）我又饿了，想吃烤肉~
3891,"【12阶】[bd29ee]紫品[-]副手,穿戴等级[007ae8]116[-]级,[00b404]出售[-]可获得【[007ae8]装备精魄*1100[-]】；消耗4个【魔屠·副手】和3个【12阶装备谱】可在熔炉合成1个12阶【橙品】副手"
3917,"[fff600]靖羽[-]【9阶】[f02c2c]红品[-]腰带,穿戴等级[007ae8]95[-]级,[00b404]出售[-]可获得【[007ae8]装备精魄*3500[-]】"
3953,虚耗真身
4003,【称号】使用后可获得称号【风雨无阻】
4006,魔尊部下_1
4040,藏星·腿
4046,远程火球天玑
4061,土地婆婆
4093,"【3阶】[bd29ee]紫品[-]饰品,穿戴等级[007ae8]39[-]级,[00b404]出售[-]可获得【[007ae8]装备精魄*200[-]】"
4097,必定获得1~3个【灵山神羊】碎片，并有一定概率额外获得“可交易”的【东海人鱼】碎片
4161,13阶装备测试包
4178,"【使用】可获得灵宠精魄*20,坐骑丹*20,装备强化石*20,3级宝石礼包*2"
4179,龙影·副手
4182,"[fff600]幽冥[-]【7阶】[ec8f0b]橙品[-]裤子,穿戴等级[007ae8]76[-]级,[00b404]出售[-]可获得【[007ae8]装备精魄*1200[-]】；消耗3个【邪魔煞·腿】，1个【7阶天工谱】和3个【7阶天玄晶】可在熔炉合成1个7阶【红品】裤子"
4266,西岭
4316,比翼神鸟的杂物
4338,冲刺至目标，圆形范围伤害，团队伤害提高
4359,必定获得1~3个【帝尊白虎】碎片，并有一定概率额外获得“可交易”的【东海人鱼】碎片
4368,暴击时，有55%概率提高主人3%防御，持续10秒
4388,送药
4418,山魈真身
4434,上架失败，需要消耗{0}金币
4442,东皇太一聚集十万恶灵三魂七魄打造而成，命魂为根聚轮回！
4445,使用
4484,多人副本普攻百分比掉血
4504,【坐骑碎片】暗影灵猫
4517,删删删
4523,"必定获得1~3个【瑞雪仙狐】碎片，并有一定概率额外获得50个""可交易""的对应碎片"
4557,完成师门任务(经验)
4562,正在连接[{0}]服务器
4579,挑战夺魄铃一
4585,"[fff600]云裳[-]【8阶】[f02c2c]红品[-]腰带,穿戴等级[007ae8]85[-]级,[00b404]出售[-]可获得【[007ae8]装备精魄*3000[-]】"
4604,忆翠
4608,冰枫
4617,即墨擎苍
4627,我观少侠英姿飒爽，只是还需要提高些实力！
4681,10阶橙色装备
4690,仙盟升到5级
4712,不用了。不过……你们鲛人不都是直接吃生食吗？怎么你却像个人类一样？
4724,剑刃如风伤害载体2
4744,高山流水·戒
4757,多谢少侠，我会注意安全的。
4774,迷惑的花仙_困难
4802,105级可挑战
4859,如雪
4868,神罗天征·饰
4902,哈哈哈，他倒是想得容易。不过现在他有东皇钟和《万妖宝典》在手，天玑的那些妖魔恐怕也只能受他驱使了吧。
4922,造型专用NPC60
4973,【魂技】自身全抗性增强7%，持续5秒
5010,麻
5064,山河动·腿
5074,名字应不大于{0}个字符数
5209,待结算
5235,割这么些够用吗？
5249,60级战力礼包
5257,格挡时，有35%概率提高主人3%攻击，持续10秒
5267,加为好友
5289,折返
